"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lastfollowup_ext1,extended_followup_1,,yesno,"Is this the last followup with the patient?",,,,,,,,,,,,,
helpful_ext1,extended_followup_1,,yesno,"Was Help Desk helpful in addressing the patient's needs?",,,,,,,"[lastfollowup_ext1] = '1'",,,,,,
overallhealth_ext1,extended_followup_1,,yesno,"Does the patient think assistance from Help Desk will help with their overall health?",,,,,,,"[lastfollowup_ext1] = '1'",,,,,,
successfulsheet_ext1,extended_followup_1,,yesno,"Did you fill out the successful referrals cheat sheet?",,,,,,,,,,,,,
closing_notes_ext1,extended_followup_1,,notes,"Closing notes ",,,,,,,,,,,,,
student1_ext2,extended_followup_2,,dropdown,"Name of Student 1 Calling","1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 19, Meredith H | 20, Adrian C | 21, Caroline H | 22, Sriya D | 23, Emily R | 24, Aneri T | 25, Rose N | 26, Esther Z | 27, Amber B | 28, Katherine W | 29, Margo B | 30, NiQuava P | 31, Scott M | 32, Pratamesh R | 33, Rebecca L | 34, Sue Z | 35, Wayne W | 36, Amitesh V | 37, McKenna P | 38, Esha P | 39, Rhea N | 40, Shibani M | 41, Yaneli G H | 42, Devan D | 43, Amy C | 44, Julia C | 45, Yasmin A | 46, Maria B | 47, Ishaan B | 48, Austin B | 49, Eugene C | 50, Emily D C | 51, Saisha D | 52, Spandan G | 53, Amy G | 54, Achintya I | 55, Elena K | 56, Cristal O | 57, Taylor P | 58, Catherine P | 59, Ashna S | 60, Rachel S | 61, Ashish S | 62, Ariana V | 63, Brooke W | 64, Dev S | 65, Elias L",,autocomplete,,,y,,,,,,,
attempt1_ext2,extended_followup_2,,text,"Attempt 1",,,datetime_mdy,,,y,,,,,,,
contacttype1_ext2,extended_followup_2,,radio,"Method of Contact 1","1, Call | 2, Text | 3, Email",,,,,,,,,,,,
calloutcome1_ext2,extended_followup_2,,dropdown,"Call Outcome 1","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"[contacttype1_ext2] = '1'",,,,,,
textoutcome1_ext2,extended_followup_2,,dropdown,"Text Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ext2] = '2'",,,,,,
emailoutcome1_ext2,extended_followup_2,,dropdown,"Email Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ext2] = '3'",,,,,,
attempt2_ext2,extended_followup_2,,text,"Attempt 2",,,datetime_mdy,,,y,"[calloutcome1_ext2] != '9' and [calloutcome1_ext2] != '' or [textoutcome1_ext2] = '2' or [emailoutcome1_ext2] = '2'",,,,,,
contacttype2_ext2,extended_followup_2,,radio,"Method of Contact 2","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome1_ext2] != '9' and [calloutcome1_ext2] != '' or [textoutcome1_ext2] = '2' or [emailoutcome1_ext2] = '2'",,,,,,
calloutcome2_ext2,extended_followup_2,,dropdown,"Call Outcome 2","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome1_ext2] != '9' and [calloutcome1_ext2] != '' or [textoutcome1_ext2] = '2' or [emailoutcome1_ext2] = '2') and [contacttype2_ext2] = '1'",,,,,,
textoutcome2_ext2,extended_followup_2,,dropdown,"Text Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ext2] != '9' and [calloutcome1_ext2] != '' or [textoutcome1_ext2] = '2' or [emailoutcome1_ext2] = '2') and [contacttype2_ext2] = '2'",,,,,,
emailoutcome2_ext2,extended_followup_2,,dropdown,"Email Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ext2] != '9' and [calloutcome1_ext2] != '' or [textoutcome1_ext2] = '2' or [emailoutcome1_ext2] = '2') and [contacttype2_ext2] = '3'",,,,,,
attempt3_ext2,extended_followup_2,,text,"Attempt 3",,,datetime_mdy,,,y,"[calloutcome2_ext2] != '9' and [calloutcome2_ext2] != '' or [textoutcome2_ext2] = '2' or [emailoutcome2_ext2] = '2'",,,,,,
contacttype3_ext2,extended_followup_2,,radio,"Method of Contact 3","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome2_ext2] != '9' and [calloutcome2_ext2] != '' or [textoutcome2_ext2] = '2' or [emailoutcome2_ext2] = '2'",,,,,,
calloutcome3_ext2,extended_followup_2,,dropdown,"Call Outcome 3","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome2_ext2] != '9' and [calloutcome2_ext2] != '' or [textoutcome2_ext2] = '2' or [emailoutcome2_ext2] = '2') and [contacttype3_ext2] = '1'",,,,,,
textoutcome3_ext2,extended_followup_2,,dropdown,"Text Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ext2] != '9' and [calloutcome2_ext2] != '' or [textoutcome2_ext2] = '2' or [emailoutcome2_ext2] = '2') and [contacttype3_ext2] = '2'",,,,,,
emailoutcome3_ext2,extended_followup_2,,dropdown,"Email Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ext2] != '9' and [calloutcome2_ext2] != '' or [textoutcome2_ext2] = '2' or [emailoutcome2_ext2] = '2') and [contacttype3_ext2] = '3'",,,,,,
length_ext2,extended_followup_2,,text,"Length of Call (minutes)",,,integer,0,60,,"[contacttype1_ext2] = '1' or [contacttype2_ext2] = '1' or [contacttype3_ext2] = '1'",y,,,,,
lengthresponse_ext2,extended_followup_2,,dropdown,"How long did it take the patient to respond after volunteer sent text/email?","1, within 1 day  | 2, within 1 week  | 3, within 2 weeks | 4, within 1 month  | 5, more than 1 month",,,,,,"[contacttype1_ext2] = '2' or [contacttype2_ext2] = '2' or [contacttype3_ext2] = '2' and [contacttype1_ext2] = '3' or [contacttype2_ext2] = '3' or [contacttype3_ext2] = '3'",,,,,,
patientresponse_ext2,extended_followup_2,,checkbox,"Which method of communication did the patient respond to?","1, Call  | 2, Text  | 3, Email",,,,,,,,,,,,
food_ref_c_ext2,extended_followup_2,"Connection Status",radio,[food_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref] != """"",,,,connection_status_ext2,,
food_ref_2c_ext2,extended_followup_2,,radio,[food_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref_2] != """"",,,,connection_status_ext2,,
food_ref_3c_ext2,extended_followup_2,,radio,[food_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref_3] != """"",,,,connection_status_ext2,,
clothing_ref_c_ext2,extended_followup_2,,radio,[clothing_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[clothing_ref] != """"",,,,connection_status_ext2,,
clothing_ref_2c_ext2,extended_followup_2,,radio,[clothing_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[clothing_ref_2] != """"",,,,connection_status_ext2,,
transport_ref_c_ext2,extended_followup_2,,radio,[transport_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[transport_ref] != """"",,,,connection_status_ext2,,
transport_ref_2c_ext2,extended_followup_2,,radio,[transport_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[transport_ref_2] != """"",,,,connection_status_ext2,,
housing_ref_c_ext2,extended_followup_2,,radio,[housing_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref] != """"",,,,connection_status_ext2,,
housing_ref_2c_ext2,extended_followup_2,,radio,[housing_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref_2] != """"",,,,connection_status_ext2,,
housing_ref_3c_ext2,extended_followup_2,,radio,[housing_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref_3] != """"",,,,connection_status_ext2,,
edu_ref_c_ext2,extended_followup_2,,radio,[edu_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[edu_ref] != """"",,,,connection_status_ext2,,
youth_ref_c_ext2,extended_followup_2,,radio,[youth_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[youth_ref] != """"",,,,connection_status_ext2,,
fin_ref_c_ext2,extended_followup_2,,radio,[fin_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[fin_ref] != """"",,,,connection_status_ext2,,
fin_ref_2c_ext2,extended_followup_2,,radio,[fin_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[fin_ref_2] != """"",,,,connection_status_ext2,,
medical_ref_c_ext2,extended_followup_2,,radio,[medical_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref] != """"",,,,connection_status_ext2,,
medical_ref_2c_ext2,extended_followup_2,,radio,[medical_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref_2] != """"",,,,connection_status_ext2,,
medical_ref_3c_ext2,extended_followup_2,,radio,[medical_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref_3] != """"",,,,connection_status_ext2,,
social_ref_c_ext2,extended_followup_2,,radio,[social_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[social_ref] != """"",,,,connection_status_ext2,,
criminal_ref_c_ext2,extended_followup_2,,radio,[criminal_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[criminal_ref] != """"",,,,connection_status_ext2,,
violence_ref_c_ext2,extended_followup_2,,radio,[violence_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[violence_ref] != """"",,,,connection_status_ext2,,
utilities_c_ext2,extended_followup_2,,radio,[utilities],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[utilities] != """"",,,,connection_status_ext2,,
utilities_2c_ext2,extended_followup_2,,radio,[utilities_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[utilities_2] != """"",,,,connection_status_ext2,,
other_ref1_c_ext2,extended_followup_2,,radio,[other_ref1],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref1] != """"",,,,connection_status_ext2,,
other_ref2_c_ext2,extended_followup_2,,radio,[other_ref2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref2] != """"",,,,connection_status_ext2,,
other_ref3_c_ext2,extended_followup_2,,radio,[other_ref3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref3] != """"",,,,connection_status_ext2,,
food_ref_cc_ext2,extended_followup_2,"Reasons for Not Connecting",checkbox,[food_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_c_ext2] != '4' and [food_ref_c_ext2] != '8' and [food_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
food_ref_2cc_ext2,extended_followup_2,,checkbox,[food_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_2c_ext2] != '4' and [food_ref_2c_ext2] != '8' and [food_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
food_ref_3cc_ext2,extended_followup_2,,checkbox,[food_ref_3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_3c_ext2] != '4' and [food_ref_3c_ext2] != '8' and [food_ref_3c_ext2] != ''",,,,connection_challenge_ext2,,
clothing_ref_cc_ext2,extended_followup_2,,checkbox,[clothing_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[clothing_ref_c_ext2] !='4' and [clothing_ref_c_ext2] != '8' and [clothing_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
clothing_ref_2cc_ext2,extended_followup_2,,checkbox,[clothing_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[clothing_ref_2c_ext2] !='4' and [clothing_ref_2c_ext2] != '8' and [clothing_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
transport_ref_cc_ext2,extended_followup_2,,checkbox,[transport_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[transport_ref_c_ext2] != '4' and [transport_ref_c_ext2] != '8' and [transport_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
transport_ref_2cc_ext2,extended_followup_2,,checkbox,[transport_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[transport_ref_2c_ext2] != '4' and [transport_ref_2c_ext2] != '8' and [transport_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
housing_ref_cc_ext2,extended_followup_2,,checkbox,[housing_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_c_ext2] =! '4' and [housing_ref_c_ext2] != '8' and [housing_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
housing_ref_2cc_ext2,extended_followup_2,,checkbox,[housing_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_2c_ext2] != '4' and [housing_ref_2c_ext2] != '8' and [housing_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
housing_ref_3cc_ext2,extended_followup_2,,checkbox,[housing_ref_3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_3c_ext2] != '4' and [housing_ref_3c_ext2] != '8' and [housing_ref_3c_ext2] != ''",,,,connection_challenge_ext2,,
edu_ref_cc_ext2,extended_followup_2,,checkbox,[edu_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[edu_ref_c_ext2] != '4' and [edu_ref_c_ext2] != '8' and [edu_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
youth_ref_cc_ext2,extended_followup_2,,checkbox,[youth_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[youth_ref_c_ext2] != '4' and [youth_ref_c_ext2] != '8' and [youth_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
fin_ref_cc_ext2,extended_followup_2,,checkbox,[fin_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[fin_ref_c_ext2] != '4' and [fin_ref_c_ext2] != '8' and [fin_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
fin_ref_2cc_ext2,extended_followup_2,,checkbox,[fin_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[fin_ref_2c_ext2] != '4' and [fin_ref_2c_ext2] != '8' and [fin_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
medical_ref_cc_ext2,extended_followup_2,,checkbox,[medical_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[medical_ref_c_ext2] != '4' and [medical_ref_c_ext2] != '8' and [medical_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
medical_ref_2cc_ext2,extended_followup_2,,checkbox,[medical_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[medical_ref_2c_ext2] != '4' and [medical_ref_2c_ext2] != '8' and [medical_ref_2c_ext2] != ''",,,,connection_challenge_ext2,,
medical_ref_3cc_ext2,extended_followup_2,,checkbox,[medical_ref_3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[medical_ref_3c_ext2] != '4' and [medical_ref_3c_ext2] != '8' and [medical_ref_3c_ext2] != ''",,,,connection_challenge_ext2,,
social_ref_cc_ext2,extended_followup_2,,checkbox,[social_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[social_ref_c_ext2] != '4' and [social_ref_c_ext2] != '8' and [social_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
criminal_ref_cc_ext2,extended_followup_2,,checkbox,[criminal_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[criminal_ref_c_ext2] != '4' and [criminal_ref_c_ext2] != '8' and [criminal_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
violence_ref_cc_ext2,extended_followup_2,,checkbox,[violence_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[violence_ref_c_ext2] != '4' and [violence_ref_c_ext2] != '8' and [violence_ref_c_ext2] != ''",,,,connection_challenge_ext2,,
utilities_cc_ext2,extended_followup_2,,checkbox,[utilities],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[utilities_c_ext2] != '4' and [utilities_c_ext2] != '8' and [utilities_c_ext2] != ''",,,,connection_challenge_ext2,,
utilities_2cc_ext2,extended_followup_2,,checkbox,[utilities_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[utilities_2c_ext2] != '4' and [utilities_2c_ext2] != '8' and [utilities_2c_ext2] != ''",,,,connection_challenge_ext2,,
other_ref1_cc_ext2,extended_followup_2,,checkbox,[other_ref1],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref1_c_ext2] != '4' and [other_ref1_c_ext2] != '8' and [other_ref1_c_ext2] != ''",,,,connection_challenge_ext2,,
other_ref2_cc_ext2,extended_followup_2,,checkbox,[other_ref2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref2_c_ext2] != '4' and [other_ref2_c_ext2] != '8' and [other_ref2_c_ext2] != ''",,,,connection_challenge_ext2,,
other_ref3_cc_ext2,extended_followup_2,,checkbox,[other_ref3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref3_c_ext2] != '4' and [other_ref3_c_ext2] != '8' and [other_ref3_c_ext2] != ''",,,,connection_challenge_ext2,,
food_ref_e_ext2,extended_followup_2,"Ease of Use",radio,[food_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[food_ref_c_ext2] = '4' or [food_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
food_ref_2e_ext2,extended_followup_2,,radio,[food_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[food_ref_2c_ext2] = '4' or [food_ref_2c_ext2] = '8'",,,,ease_of_use_ext2,,
food_ref_3e_ext2,extended_followup_2,,radio,[food_ref_3],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[food_ref_3c_ext2] = '4' or [food_ref_3c_ext2] = '8'",,,,ease_of_use_ext2,,
clothing_ref_e_ext2,extended_followup_2,,radio,[clothing_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[clothing_ref_c_ext2] ='4' or [clothing_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
clothing_ref_2e_ext2,extended_followup_2,,radio,[clothing_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[clothing_ref_2c_ext2] ='4' or [clothing_ref_2c_ext2] = '8'",,,,ease_of_use_ext2,,
transport_ref_e_ext2,extended_followup_2,,radio,[transport_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[transport_ref_c_ext2] = '4' or [transport_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
transport_ref_2e_ext2,extended_followup_2,,radio,[transport_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[transport_ref_2c_ext2] = '4' or [transport_ref_2c_ext2] = '8'",,,,ease_of_use_ext2,,
housing_ref_e_ext2,extended_followup_2,,radio,[housing_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_c_ext2] = '4' or [housing_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
housing_ref_2e_ext2,extended_followup_2,,radio,[housing_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_2c_ext2] = '4' or [housing_ref_2c_ext2] = '8'",,,,ease_of_use_ext2,,
housing_ref_3e_ext2,extended_followup_2,,radio,[housing_ref_3],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_3c_ext2] = '4' or [housing_ref_3c_ext2] = '8'",,,,ease_of_use_ext2,,
edu_ref_e_ext2,extended_followup_2,,radio,[edu_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[edu_ref_c_ext2] = '4' or [edu_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
youth_ref_e_ext2,extended_followup_2,,radio,[youth_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[youth_ref_c_ext2] = '4' or [youth_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
fin_ref_e_ext2,extended_followup_2,,radio,[fin_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[fin_ref_c_ext2] = '4' or [fin_ref_c_ext2] = '8'",,,,ease_of_use_ext2,,
fin_ref_2e_ext2,extended_followup_2,,radio,[fin_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[fin_ref_2c_ext2] = '4' or [fin_ref_2c_ext2] = '8'",,,,ease_of_use_ext2,,
